#Fusion_used	reference	Type
BCR--ABL1	41446535	AML
ETV6--ABL1	12161353	AML
RANBP2--ALK	39256524	AML
CHIC2--ETV6	39037342	AML
DEK--NUP214	41446535, 34135310	AML
FUS--ERG	7533529, 24068373	AML
MNX1--ETV6	18940475	AML
TRIM24--FGFR1	35177571	AML
CBFA2T3--GLIS2	30592296	AML
NUP98--HOXA13	12112533	AML
NUP98--HOXA9	41446535	AML
NUP98--HOXC11	12970787	AML
NUP98--HOXC13	12461755	AML
BCR--JAK2	18503828	AML
PCM1--JAK2	29797824	AML
CREBBP--KAT6A	30759270	AML
KAT6A--EP300	37505185	AML
NUP98--KDM5A	37301844	AML
TPM4--KLF2	32723198	AML
KMT2A--ELL	41446535, 40316511, 32611575	AML
KMT2A--EP300	35765879	AML
KMT2A--EPS15	33647817	AML
KMT2A--MLLT1	40316511, 32611575	AML
KMT2A--MLLT10	41446535, 34135310, 40316511	AML
KMT2A--MLLT11	40316511	AML
KMT2A--MLLT3	41446535, 34135310, 40316511	AML
KMT2A--MLLT6	40316511	AML
KMT2A--SEPT6	40316511	AML
KMT2A--SEPT9	41446535, 40316511	AML
NUP98--KMT2A	32611575	AML
ETV6--MECOM	38405662	AML
GATA2--MECOM	22887804, 24703711, 24703906	AML
CDK6--MECOM	41283235	AML
RBM15--MKL1	28239626	AML
PICALM--MLLT10	41446535	AML
MYB--GATA1	34915342	AML
CBFB--MYH11	34135310, 34135310	AML
NF1--LRRC37B	23634996	AML
NUP98--NSD1	41446535, 34135310	AML
ETV6--NTRK3	37686522	AML
ERC1--PDGFRB	17690697	AML
TRIP11--PDGFRB	25606057	AML
ETV6--PRDM16	22050763	AML
ETV6--RARA	41831065	AML
FIP1L1--RARA	36776354	APL
GTF2I--RARA	25284716	APL
NPM1--RARA	37427149	AML
NUMA1--RARA	CytoGeneticAtlas	APL
PML--RARA	41446535, 34135310	AML
STAT5B--RARA	30665050	AML
ZBTB16--RARA	34042280	AML
MECOM--RUNX1	40204525	AML
RUNX1--CBFA2T3	38651500	AML
RUNX1--PRDM16	16015645	AML
RUNX1--RUNX1T1	41446535, 34135310	AML
NUP98--TOP1	28249294	AML
IRF2BP2--RARA	27193600	APL
TBL1XR1--RARA	36465368, 36980947	APL
BCOR--RARA	36212492	APL
PRKAR1A--RARA	17712046	APL
FNDC3B--RARA	28314734	APL
STAT3--RARA	38153216	APL
FIP1L1--PDGFRA	17377585	AML
ETV6--PDGFRB	38026242	AML
BCR--FGFR1	23519513	AML
CNTRL--FGFR1	23777766	AML
CEP110--FGFR1	33491601	AML
ZMYM2--FGFR1	27005999	AML
KMT2A--AFDN	40316511	AML
KMT2A--ARHGEF12	40316511	AML
NRIP1-- MIR99AHG	34134473	AML
LTN1--MX1	34134473	AML
KMT2A--MLLT4	41126738, 34135310	AML
ZNF292--PNRC1	34135310, 34135310	AML
NUP214--DEK	40138481	AML
GLIS2--CBFA2T3	30592296	AML
KAT6A--CREBBP	30759270	AML
RUNX1--EVI1	41446535	AML
RUNX1--MTG16	41446535	AML
BCR--ABL	41446535	AML
FIP1LT--PDGFR	41446535	AML
TEL--PDGFR	41446535	AML
TEL--ABL1	41446535	AML
KMT2A--AF9	41446535	AML
KMT2A--AF6	41446535	AML
KMT2A--AF10	41446535	AML
TLS--ERG	41446535	AML
CBFβ--MYH11	41446535	AML
SET--NUP214	41446535	AML
KMT2A--PTD	41446535	AML
KMT2A--ENL	41446535	AML
KMT2A--AFF1	32611575, 40316511	AML
THADA--MECOM	41283235	AML
CDK6--MECOM	41283235	AML
MYC--MECOM	41283235	AML
ARID1B--MECOM	41283235	AML
